,flag,tokenized_without_stopwords
90,0,"['smile', 'pleasure', 'smile', 'pain', 'smile', 'trouble', 'pours', 'like', 'rain', 'smile', 'sum1', 'hurts', 'u', 'smile', 'becoz', 'someone', 'still', 'loves', 'see', 'u', 'smiling']"
91,1,"['please', 'call', 'customer', 'service', 'representative', '10am-9pm', 'guaranteed', 'å£1000', 'cash', 'å£5000', 'prize']"
92,0,"['havent', 'planning', 'buy', 'later', 'check', 'already', 'lido', 'got', 'show', 'e', 'afternoon', 'u', 'finish', 'work', 'already']"
93,1,"['free', 'ringtone', 'waiting', 'collected', 'simply', 'text', 'password', '\\mix\\', 'verify', 'get', 'usher', 'britney', 'fml', 'po', 'box', 'mk17', '92h', '450ppw']"
94,0,"['watching', 'telugu', 'movie', 'wat', 'abt', 'u']"
95,0,"['see', 'finish', 'loads', 'loans', 'pay']"
96,0,"['hi', 'wk', 'ok', 'hols', 'yes', 'bit', 'run', 'forgot', 'hairdressers', 'appointment', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'cause', 'prob', 'u']"
97,0,['ham']
98,0,"['please', ""n't"", 'text', 'anymore', 'nothing', 'else', 'say']"
99,0,"['okay', 'name', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'u', 'ave', 'x', 'ams', 'xx']"
100,0,"[""'m"", 'still', 'looking', 'car', 'buy', 'gone', '4the', 'driving', 'test', 'yet']"
101,0,"['per', 'request', ""'melle"", 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'callers', 'press', 'copy', 'friends', 'callertune']"
102,0,"['wow', ""'re"", 'right', ""n't"", 'mean', 'guess', 'gave', 'boston', 'men', 'changed', 'search', 'location', 'nyc', 'something', 'changed', 'cuz', 'signin', 'page', 'still', 'says', 'boston']"
103,0,"['umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']"
104,0,"['thanks', 'lot', 'wishes', 'birthday', 'thanks', 'making', 'birthday', 'truly', 'memorable']"
105,0,"['aight', ""'ll"", 'hit', 'get', 'cash']"
106,0,"['would', 'ip', 'address', 'test', 'considering', 'computer', ""n't"", 'minecraft', 'server']"
107,0,"['know', 'grumpy', 'old', 'people', 'mom', 'like', 'better', 'lying', 'always', 'one', 'play', 'jokes']"
108,0,"['dont', 'worry', 'guess', ""'s"", 'busy']"
109,0,"['plural', 'noun', 'research']"
110,0,"['going', 'dinner.msg']"
111,0,"[""'m"", 'ok', 'wif', 'cos', 'like', 'try', 'new', 'things', 'scared', 'u', 'dun', 'like', 'mah', 'cos', 'u', 'said', 'loud']"
112,1,"['gent', 'trying', 'contact', 'last', 'weekends', 'draw', 'shows', 'å£1000', 'prize', 'guaranteed', 'call', 'claim', 'code', 'k52', 'valid', '12hrs', '150ppm']"
113,0,"['wa', 'ur', 'openin', 'sentence', 'formal', 'anyway', ""'m"", 'fine', 'juz', 'tt', ""'m"", 'eatin', 'much', 'n', 'puttin', 'weight', 'haha', 'anythin', 'special', 'happened']"
114,0,"['entered', 'cabin', 'pa', 'said', 'happy', ""b'day"", 'boss', 'felt', 'special', 'askd', 'lunch', 'lunch', 'invited', 'apartment', 'went']"
115,1,"['winner', 'u', 'specially', 'selected', 'receive', 'å£1000', 'holiday', 'flights', 'inc', 'speak', 'live', 'operator', 'claim', '0871277810910p/min', '18+']"
116,0,"['goodo', 'yes', 'must', 'speak', 'friday', 'egg-potato', 'ratio', 'tortilla', 'needed']"
117,0,"['hmm', 'uncle', 'informed', ""'s"", 'paying', 'school', 'directly', 'pls', 'buy', 'food']"
118,1,"['private', 'account', 'statement', 'shows', 'unredeemed', 'bonus', 'points', 'claim', 'call', 'identifier', 'code', 'expires']"
119,1,"['urgent', 'mobile', 'awarded', 'å£2000', 'bonus', 'caller', 'prize', '5/9/03', 'final', 'try', 'contact', 'u', 'call', 'landline', 'box42wr29c', '150ppm']"
120,0,"['new', 'address', '-apples', 'pairs', 'malarky']"
121,1,"['todays', 'voda', 'numbers', 'ending', 'selected', 'receive', 'award', 'match', 'please', 'call', 'quoting', 'claim', 'code', 'standard', 'rates', 'app']"
122,0,"['going', 'sao', 'mu', 'today', 'done']"
123,0,"['ìï', 'predict', 'wat', 'time', 'ì_', ""'ll"", 'finish', 'buying']"
124,0,"['good', 'stuff']"
125,0,"['knowyetunde', ""n't"", 'sent', 'money', 'yet', 'sent', 'text', 'bother', 'sending', 'dont', 'involve', 'anything', ""n't"", 'imposed', 'anything', 'first', 'place', 'apologise']"
126,0,['room']
127,0,"['hey', 'girl', 'r', 'u', 'hope', 'u', 'r', 'well', 'del', 'r', 'bak', 'long', 'time', 'c', 'give', 'call', 'sum', 'time', 'lucyxx']"
128,0,"['k', 'k', 'much', 'cost']"
129,0,"[""'m"", 'home']"
130,0,"['dear', 'call', 'tmorrow.pls', 'accomodate']"
131,0,"['first', 'answer', 'question']"
132,1,"['sunshine', 'quiz', 'wkly', 'q', 'win', 'top', 'sony', 'dvd', 'player', 'u', 'know', 'country', 'algarve', 'txt', 'ansr', '82277.', 'å£1.50', 'sp', 'tyrone']"
133,1,"['want', 'get', 'laid', 'tonight', 'want', 'real', 'dogging', 'locations', 'sent', 'direct', 'ur', 'mob', 'join', 'uk', ""'s"", 'largest', 'dogging', 'network', 'bt', 'txting', 'gravel', 'nt', 'ec2a', '31p.msg', '150p']"
134,0,"['haf', 'msn', ""'s"", 'yijue', 'hotmail.com']"
135,0,"['call', 'meet']"
136,0,"['check', 'rooms', 'befor', 'activities']"
137,1,"[""'ll"", 'rcv', 'msgs', 'chat', 'svc', 'free', 'hardcore', 'services', 'text', 'go', 'u', 'get', 'nothing', 'u', 'must', 'age', 'verify', 'yr', 'network', 'try']"
138,0,"['got', 'c', 'lazy', 'type', 'forgot', 'ì_', 'lect', 'saw', 'pouch', 'like', 'v', 'nice']"
139,0,"['k', 'text', ""'re"", 'way']"
140,0,"['sir', 'waiting', 'mail']"
141,0,"['swt', 'thought', '\\nver', 'get', 'tired', 'little', 'things', 'lovable', 'persons', 'coz', 'somtimes', 'little', 'things', 'occupy', 'biggest', 'part', 'hearts', 'gud', 'ni8']"
142,0,"['know', 'pls', 'open', 'back']"
143,0,"['yes', 'see', 'ya', 'dot']"
144,0,"['whats', 'staff', 'name', 'taking', 'class', 'us']"
145,1,"['freemsg', ""n't"", 'replied', 'text', ""'m"", 'randy', 'sexy', 'female', 'live', 'local', 'luv', 'hear', 'u.', 'netcollex', 'ltd', '08700621170150p', 'per', 'msg', 'reply', 'stop', 'end']"
146,0,"['ummma.will', 'call', 'check', 'in.our', 'life', 'begin', 'qatar', 'pls', 'pray', 'hard']"
147,0,"['k', 'deleted', 'contact']"
148,0,"['sindu', 'got', 'job', 'birla', 'soft']"
149,0,"['wine', 'flowing', ""'m"", 'nevering']"
150,0,"['yup', 'thk', 'cine', 'better', 'cos', 'need', 'go', 'plaza', 'mah']"
151,0,"['ok', 'ur', 'typical', 'reply']"
152,0,"['per', 'request', ""'melle"", 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'callers', 'press', 'copy', 'friends', 'callertune']"
153,0,"['everywhere', 'dirt', 'floor', 'windows', 'even', 'shirt', 'sometimes', 'open', 'mouth', 'comes', 'flowing', 'dream', 'world', 'without', 'half', 'chores', 'time', 'joy', 'lots', 'tv', 'shows', 'i.ll', 'see', 'guess', 'like', 'things', 'must', 'exist', 'like', 'rain', 'hail', 'mist', 'time', 'done', 'become', 'one']"
154,0,"['aaooooright', 'work']"
155,0,"[""'m"", 'leaving', 'house']"
156,0,"['hello', 'love', 'get', 'interview', 'today', 'happy', 'good', 'boy', 'think', 'missing']"
157,1,"['customer', 'service', 'annoncement', 'new', 'years', 'delivery', 'waiting', 'please', 'call', 'arrange', 'delivery']"
158,1,"['winner', 'u', 'specially', 'selected', 'receive', 'å£1000', 'cash', 'holiday', 'flights', 'inc', 'speak', 'live', 'operator', 'claim']"
159,0,"['keep', 'safe', 'need', 'miss', 'already', 'envy', 'everyone', 'see', ""'s"", 'real', 'life']"
160,0,"['new', 'car', 'house', 'parents', 'new', 'job', 'hand']"
161,0,"[""'m"", 'love', ""'m"", 'excited', 'day', 'spend', 'make', 'happy']"
162,1,"['-pls', 'stop', 'bootydelious', '32/f', 'inviting', 'friend', 'reply', 'yes-434', 'no-434', 'see', 'www.sms.ac/u/bootydelious', 'stop', 'send', 'stop', 'frnd']"
163,1,"['bangbabes', 'ur', 'order', 'way', 'u', 'receive', 'service', 'msg', 'download', 'ur', 'content', 'u', 'goto', 'wap', 'bangb', 'tv', 'ur', 'mobile', 'internet/service', 'menu']"
164,0,"['place', 'ur', 'points', 'e', 'cultures', 'module', 'already']"
165,1,"['urgent', 'trying', 'contact', 'last', 'weekends', 'draw', 'shows', 'å£900', 'prize', 'guaranteed', 'call', 'claim', 'code', 's89', 'valid', '12hrs']"
166,0,"['hi', 'frnd', 'best', 'way', 'avoid', 'missunderstding', 'wit', 'beloved', 'one', ""'s""]"
167,0,"['great', 'escape', 'fancy', 'bridge', 'needs', 'lager', 'see', 'tomo']"
168,0,"['yes', 'completely', 'form', 'clark', 'also', 'utter', 'waste']"
169,0,"['sir', 'need', 'axis', 'bank', 'account', 'bank', 'address']"
170,0,"['hmmm', 'thk', 'sure', 'got', 'time', 'hop', 'ard', 'ya', 'go', 'free', 'abt', 'muz', 'call', 'u', 'discuss', 'liao']"
171,0,"['time', 'coming', 'later']"
172,0,"['bloody', 'hell', 'cant', 'believe', 'forgot', 'surname', 'mr', 'ill', 'give', 'u', 'clue', 'spanish', 'begins']"
173,0,"['well', ""'m"", 'gon', 'na', 'finish', 'bath', 'good', 'fine', 'night']"
174,0,"['let', 'know', ""'ve"", 'got', 'money', 'carlos', 'make', 'call']"
175,0,"['u', 'still', 'going', 'mall']"
176,0,"['turns', 'friends', 'staying', 'whole', 'show', 'wo', ""n't"", 'back', 'til', '~', 'lt', 'gt', 'feel', 'free', 'go', 'ahead', 'smoke', 'lt', 'gt', 'worth']"
177,0,"['text', 'doesnt', 'reply', 'let', 'know', 'log']"
178,0,"['hi', 'spoke', 'maneesha', 'v.', ""'d"", 'like', 'know', 'satisfied', 'experience', 'reply', 'toll', 'free', 'yes']"
179,0,"['lifted', 'hopes', 'offer', 'money', 'need', 'especially', 'end', 'month', 'approaches', 'hurts', 'studying', 'anyways', 'gr8', 'weekend']"
180,0,"['lol', 'u', 'trust']"
181,0,"['ok', 'gentleman', 'treat', 'dignity', 'respect']"
182,0,"['guys', 'close']"
183,0,"['going', 'nothing', 'great.bye']"
184,0,"['hello', 'handsome', 'finding', 'job', 'lazy', 'working', 'towards', 'getting', 'back', 'net', 'mummy', ""'s"", 'boytoy', 'miss']"
185,0,"['haha', 'awesome', 'minute']"
186,1,"['please', 'call', 'customer', 'service', 'representative', 'freephone', '9am-11pm', 'guaranteed', 'å£1000', 'cash', 'å£5000', 'prize']"
187,0,"['got', 'xmas', 'radio', 'times', 'get']"
188,0,"['jus', 'reached', 'home', 'go', 'bathe', 'first', 'sis', 'using', 'net', 'tell', 'u', 'finishes', 'k']"
189,1,"['unique', 'enough', 'find', '30th', 'august', 'www.areyouunique.co.uk']"
190,0,"[""'m"", 'sorry', ""'ve"", 'joined', 'league', 'people', 'dont', 'keep', 'touch', 'mean', 'great', 'deal', 'friend', 'times', 'even', 'great', 'personal', 'cost', 'great', 'week.|']"
191,0,"['hi', 'finally', 'completed', 'course']"
192,0,"['stop', 'however', 'suggest', 'stays', 'someone', 'able', 'give', 'ors', 'every', 'stool']"
193,0,"['hope', ""'ve"", 'settled', 'new', 'school', 'year', 'wishin', 'gr8', 'day']"
194,0,"['gud', 'mrng', 'dear', 'hav', 'nice', 'day']"
195,0,"['u', 'got', 'persons', 'story']"
196,0,"['hamster', 'dead', 'hey', 'tmr', 'meet', '1pm', 'orchard', 'mrt']"
197,0,"['hi', 'kate', 'evening', 'hope', 'see', 'tomorrow', 'bit', 'bloody', 'babyjontet', 'txt', 'back', 'u', 'xxx']"
198,0,"['found', 'enc', 'lt', 'gt']"
199,0,"['sent', 'lt', 'gt', 'bucks']"
200,0,"['hello', 'darlin', 'ive', 'finished', 'college', 'txt', 'u', 'finish', 'u', 'love', 'kate', 'xxx']"
201,0,"['account', 'refilled', 'successfully', 'inr', 'ltdecimal', 'gt', 'keralacircle', 'prepaid', 'account', 'balance', 'rs', 'ltdecimal', 'gt', 'transaction', 'id', 'kr', 'lt']"
202,0,"['goodmorning', 'sleeping', 'ga']"
203,0,"['u', 'call', 'alter', 'ok']"
204,0,"['ìï', 'say', 'like', 'dat', 'dun', 'buy', 'ericsson', 'oso', 'oredi', 'lar']"
205,0,"['entered', 'cabin', 'pa', 'said', 'happy', ""b'day"", 'boss', 'felt', 'special', 'askd', 'lunch', 'lunch', 'invited', 'apartment', 'went']"
206,0,"['aight', 'yo', 'dats', 'straight', 'dogg']"
207,0,"['please', 'give', 'us', 'connection', 'today', 'ltdecimal', 'gt', 'refund', 'bill']"
208,0,"['shoot', 'big', 'loads', 'get', 'ready']"
209,0,"[""'s"", 'bruv', 'hope', 'great', 'break', 'rewarding', 'semester']"
210,0,"['home', 'always', 'chat']"
211,0,"['k', 'k', 'good', 'study', 'well']"
212,0,"['yup', 'ì_', 'noe', 'leh']"
213,0,"['sounds', 'great', 'home']"
214,0,"['finally', 'match', 'heading', 'towards', 'draw', 'prediction']"
215,0,"['tired', ""n't"", 'slept', 'well', 'past', 'nights']"
216,0,"['easy', 'ah', 'sen', 'got', 'selected', 'means', 'good']"
217,0,"['take', 'exam', 'march']"
218,0,"['yeah', 'think', 'use', 'gt', 'atm', 'register', 'sure', ""'s"", 'anyway', 'help', 'let', 'know', 'sure', 'ready']"
219,0,"['ok', 'prob', 'take', 'ur', 'time']"
220,0,"['os', 'called', 'ubandu', 'run', 'without', 'installing', 'hard', 'disk', 'use', 'os', 'copy', 'important', 'files', 'system', 'give', 'repair', 'shop']"
221,0,"['sorry', ""'ll"", 'call', 'later']"
222,0,"['u', 'say', 'leh', 'course', 'nothing', 'happen', 'lar', 'say', 'v', 'romantic', 'jus', 'bit', 'lor', 'thk', 'e', 'nite', 'scenery', 'nice', 'leh']"
223,1,"['new', 'mobiles', 'must', 'go', 'txt', 'nokia', 'collect', 'today', 'å£1', 'www.4-tc.biz', '2optout', '087187262701.50gbp/mtmsg18']"
224,0,"['would', 'really', 'appreciate', 'call', 'need', 'someone', 'talk']"
225,1,"['u', 'meet', 'ur', 'dream', 'partner', 'soon', 'ur', 'career', 'flyng', 'start', 'find', 'free', 'txt', 'horo', 'followed', 'ur', 'star', 'sign', 'e.', 'g.', 'horo', 'aries']"
226,0,"['hey', 'company', 'elama', 'po', 'mudyadhu']"
227,0,"['life', 'strict', 'teacher', 'bcoz', 'teacher', 'teaches', 'lesson', 'amp', 'conducts', 'exam', 'life', 'first', 'conducts', 'exam', 'amp', 'teaches', 'lessons', 'happy', 'morning']"
228,0,"['dear', 'good', 'morning']"
229,0,"['get', 'gandhipuram', 'walk', 'cross', 'cut', 'road', 'right', 'side', 'lt', 'gt', 'street', 'road', 'turn', 'first', 'right']"
230,0,"['dear', 'going', 'rubber', 'place']"
231,0,"['sorry', 'battery', 'died', 'yeah', ""'m""]"
232,0,"['yes', 'tv', 'always', 'available', 'work', 'place']"
233,1,"['text', 'meet', 'someone', 'sexy', 'today', 'u', 'find', 'date', 'even', 'flirt', 'u', 'join', '10p', 'reply', 'name', 'age', 'eg', 'sam', '-msg', 'recd', 'thirtyeight', 'pence']"
234,0,"['printed', 'oh', 'lt', 'gt', 'come', 'upstairs']"
235,0,"['ill', 'little', 'closer', 'like', 'bus', 'stop', 'street']"
236,0,"['wil', 'reach']"
237,0,"['new', 'theory', 'argument', 'wins', 'situation', 'loses', 'person', 'dont', 'argue', 'ur', 'friends', 'kick', 'amp', 'say', ""'m"", 'always', 'correct.']"
238,1,"['u', 'secret', 'admirer', 'looking', 'make', 'contact', 'u-find', 'r', 'reveal', 'thinks', 'ur', 'special-call']"
239,0,"['tomarrow', 'final', 'hearing', 'laptop', 'case', 'cant']"
240,0,"['pleassssssseeeeee', 'tel', 'v', 'avent', 'done', 'sportsx']"
241,0,"['okay', 'shining', 'meant', 'signing', 'sounds', 'better']"
242,0,"['although', 'told', 'u', 'dat', ""'m"", 'baig', 'face', 'watches', 'really', 'like', 'e', 'watch', 'u', 'gave', 'cos', ""'s"", 'fr', 'u.', 'thanx', 'everything', 'dat', 'u', ""'ve"", 'done', 'today', ""'m"", 'touched']"
243,0,"['u', ""n't"", 'remember', 'old', 'commercial']"
244,0,"['late', 'said', 'website', ""n't"", 'dont', 'slippers']"
245,0,"['asked', 'call', 'ok']"
246,0,"['kallis', 'wont', 'bat', '2nd', 'innings']"
247,0,"['didnt', 'work', 'oh', 'ok', 'goodnight', 'i.ll', 'fix', 'ready', 'time', 'wake', 'dearly', 'missed', 'good', 'night', 'sleep']"
248,1,"['congratulations', 'ur', 'awarded', 'cd', 'vouchers', '125gift', 'guaranteed', 'free', 'entry', 'wkly', 'draw', 'txt', 'music', 'tncs', 'www.ldew.com1win150ppmx3age16']"
249,0,"['ranjith', 'cal', 'drpd', 'deeraj', 'deepak', '5min', 'hold']"
250,0,"['wen', 'ur', 'lovable', 'bcums', 'angry', 'wid', 'u', 'dnt', 'take', 'seriously', 'coz', 'angry', 'childish', 'n', 'true', 'way', 'showing', 'deep', 'affection', 'care', 'n', 'luv', 'kettoda', 'manda', 'nice', 'day', 'da']"
251,0,[]
